RULER px=(226,132,200x12) scale=1.0000 canvas-origin=(206.0,120.0)
gray20         canvas=(  445.0,   -5.0   50.0x5.0   ) px=(651,115) area=161 rgb=(29,31,31)
white          canvas=(   20.0,   12.0  200.0x12.0  ) px=(226,132) area=2400 rgb=(255,255,255)
magenta        canvas=(  240.0,   12.0  100.0x12.0  ) px=(446,132) area=1196 rgb=(248,5,248)
cyan           canvas=(  360.0,   12.0   50.0x12.0  ) px=(566,132) area=598 rgb=(10,251,251)
gray20         canvas=(   20.0,   60.0  300.0x200.0 ) px=(226,180) area=55947 rgb=(51,51,51)
gray23         canvas=(   20.0,   60.0   20.0x20.0  ) px=(226,180) area=400 rgb=(177,177,177)
red            canvas=(  160.0,   60.0   20.0x20.0  ) px=(366,180) area=396 rgb=(246,4,3)
orange         canvas=(  300.0,   60.0   20.0x20.0  ) px=(506,180) area=400 rgb=(249,129,8)
bg-darkblue    canvas=(  360.0,   60.0  300.0x200.0 ) px=(566,180) area=56557 rgb=(24,24,76)
bg-darkgreen   canvas=(  700.0,   60.0  220.0x200.0 ) px=(906,180) area=42687 rgb=(25,63,26)
red            canvas=(  730.0,   90.0   20.0x20.0  ) px=(936,210) area=396 rgb=(246,6,3)
red            canvas=(  490.0,  140.0   40.0x40.0  ) px=(696,260) area=1596 rgb=(250,2,2)
green          canvas=(   20.0,  150.0   20.0x20.0  ) px=(226,270) area=400 rgb=(8,249,8)
yellow         canvas=(  160.0,  150.0   20.0x20.0  ) px=(366,270) area=396 rgb=(253,253,10)
cyan           canvas=(  300.0,  150.0   20.0x20.0  ) px=(506,270) area=399 rgb=(10,251,251)
cyan           canvas=(  840.0,  150.0   20.0x20.0  ) px=(1046,270) area=400 rgb=(9,251,250)
green          canvas=(  870.0,  210.0   20.0x20.0  ) px=(1076,330) area=400 rgb=(7,250,6)
yellow         canvas=(  620.0,  220.0   40.0x40.0  ) px=(826,340) area=1596 rgb=(254,254,5)
blue           canvas=(   20.0,  240.0   20.0x20.0  ) px=(226,360) area=355 rgb=(2,1,249)
magenta        canvas=(  160.0,  240.0   20.0x20.0  ) px=(366,360) area=396 rgb=(247,5,247)
purple         canvas=(  300.0,  240.0   20.0x20.0  ) px=(506,360) area=396 rgb=(124,3,245)
yellow         canvas=(  930.0,  270.0   20.0x20.0  ) px=(1136,390) area=396 rgb=(253,253,10)
bg-darkred     canvas=(   20.0,  320.0  180.0x120.0 ) px=(226,440) area=15904 rgb=(102,24,25)
bg-darkred     canvas=(  220.0,  320.0  180.0x120.0 ) px=(426,440) area=15900 rgb=(101,24,25)
bg-darkred     canvas=(  420.0,  320.0  180.0x120.0 ) px=(626,440) area=15904 rgb=(102,24,25)
bg-darkblue    canvas=(  640.0,  320.0  140.0x160.0 ) px=(846,440) area=16696 rgb=(24,24,102)
bg-darkblue    canvas=(  795.0,  320.0  140.0x160.0 ) px=(1001,440) area=16602 rgb=(24,25,100)
bg-darkred     canvas=(  834.0,  324.0    3.0x40.0  ) px=(1040,444) area=80 rgb=(138,16,50)
red            canvas=(  836.0,  324.0   58.0x40.0  ) px=(1042,444) area=2316 rgb=(251,2,2)
bg-darkred     canvas=(  893.0,  324.0    3.0x40.0  ) px=(1099,444) area=80 rgb=(138,15,50)
bg-darkred     canvas=(  680.0,  326.0   60.0x3.0   ) px=(886,446) area=120 rgb=(136,15,49)
red            canvas=(  680.0,  328.0   60.0x38.0  ) px=(886,448) area=2276 rgb=(252,1,2)
green          canvas=(  106.0,  350.0   40.0x60.0  ) px=(312,470) area=2396 rgb=(5,252,3)
green          canvas=(  305.0,  350.0   40.0x60.0  ) px=(511,470) area=2371 rgb=(6,251,4)
green          canvas=(  506.0,  350.0   40.0x60.0  ) px=(712,470) area=2396 rgb=(5,252,3)
bg-darkgreen   canvas=(  304.0,  351.0    1.0x58.0  ) px=(510,471) area=58 rgb=(24,69,0)
bg-darkgreen   canvas=(  345.0,  351.0    1.0x58.0  ) px=(551,471) area=58 rgb=(23,70,0)
red            canvas=(   29.0,  360.0   60.0x40.0  ) px=(235,480) area=2396 rgb=(251,2,1)
red            canvas=(  226.0,  360.0   60.0x40.0  ) px=(432,480) area=2398 rgb=(252,2,1)
red            canvas=(  437.0,  360.0   60.0x40.0  ) px=(643,480) area=2396 rgb=(251,2,1)
bg-darkred     canvas=(  680.0,  365.0   60.0x3.0   ) px=(886,485) area=120 rgb=(135,14,50)
blue           canvas=(  163.0,  371.0   28.0x18.0  ) px=(369,491) area=504 rgb=(1,0,254)
blue           canvas=(  365.0,  371.0   28.0x18.0  ) px=(571,491) area=504 rgb=(0,0,254)
blue           canvas=(  555.0,  371.0   28.0x18.0  ) px=(761,491) area=504 rgb=(0,0,254)
green          canvas=(  690.0,  380.0   40.0x60.0  ) px=(896,500) area=2396 rgb=(3,252,5)
green          canvas=(  846.0,  380.0   38.0x60.0  ) px=(1052,500) area=2280 rgb=(3,253,4)
bg-darkgreen   canvas=(  844.0,  381.0    1.0x58.0  ) px=(1050,501) area=58 rgb=(0,65,23)
bg-darkgreen   canvas=(  885.0,  381.0    1.0x58.0  ) px=(1091,501) area=58 rgb=(0,64,18)
blue           canvas=(  696.0,  454.0   28.0x18.0  ) px=(902,574) area=504 rgb=(0,0,251)
blue           canvas=(  850.0,  456.0   30.0x20.0  ) px=(1056,576) area=596 rgb=(1,1,248)
bg-teal        canvas=(  300.0,  530.0  200.0x110.0 ) px=(506,650) area=15999 rgb=(63,63,63)
gray22         canvas=(  330.0,  550.0  100.0x60.0  ) px=(536,670) area=5516 rgb=(127,127,127)
red            canvas=(  340.0,  560.0   20.0x20.0  ) px=(546,680) area=396 rgb=(246,4,3)
gray22         canvas=(  839.0,  683.0   32.0x8.0   ) px=(1045,803) area=166 rgb=(134,130,123)
gray22         canvas=(  892.0,  683.0   18.0x8.0   ) px=(1098,803) area=105 rgb=(134,130,124)
gray22         canvas=(  942.0,  687.0   53.0x13.0  ) px=(1148,807) area=444 rgb=(134,131,123)
gray22         canvas=(  910.0,  693.0   22.0x7.0   ) px=(1116,813) area=93 rgb=(131,127,122)
gray22         canvas=(  837.0,  699.0    9.0x22.0  ) px=(1043,819) area=141 rgb=(132,128,121)
gray23         canvas=(  892.0,  700.0   19.0x4.0   ) px=(1098,820) area=44 rgb=(169,168,163)
